"ano","pais","sigla","regiao","democracia","pib","populacao","variavel_dependente","despesas","mortes"
1999,"Sweden","SWE","Europe",0.914,31300,8857874,0,1.91011544317007,9
1999,"Switzerland","CHE","Europe",0.889,44190,7143991,1,6.79612125456332,180
1999,"Thailand","THA","Asia",0.516,1980,62442651,1,0,44
2000,"Australia","AUS","Oceania",0.0887,21300,19028802,1,12.6120328456163,4
2000,"Austria","AUT","Europe",0.086,26810,8011566,1,3.67325887084007,52
2000,"Belarus","BLR","Europe",0.0297,1380,9979610,0,0,0
2000,"Bulgaria","BGR","Europe",0.0717,1660,8170172,0,7.10455214977264,42
2000,"Canada","CAN","Americas",0.084,22740,30685730,1,0,44
2000,"Chile","CHL","Americas",0.0879,5080,15351799,1,0,32
2000,"Colombia","COL","Americas",0.0552,2360,39215135,0,0,460
2000,"Croatia","HRV","Europe",0.077,5300,4468302,0,4.10111010074615,123
2000,"Cyprus","CYP","Asia",0.0798,14180,948237,0,5.78947386145592,15
2000,"France","FRA","Europe",0.0876,24990,60921384,1,12.9376217126846,33
2000,"Georgia","GEO","Asia",0.0375,790,4077131,1,0,0
2000,"Greece","GRC","Europe",0.0885,NA,10805808,1,11.1346152126789,111
2000,"Hungary","HUN","Europe",0.0848,4620,10210971,0,1.91393166780472,3
2000,"Iceland","ISL","Europe",0.0871,31540,281205,0,0,0
2000,"Ireland","IRL","Europe",0.0891,24130,3805174,0,4.40795332193375,9
2000,"Israel","ISR","Asia",0.0772,19990,6289000,0,5.83790680021048,45
2000,"Italy","ITA","Europe",0.0845,21910,56942108,1,7.82211923599244,138
2000,"Japan","JPN","Asia",0.084,36810,126843000,0,0,96
2000,"Kazakhstan","KAZ","Asia",0.0271,1270,14883626,0,2.03750348091126,0
2000,"Latvia","LVA","Europe",0.0817,3320,2367550,0,1.40254777669907,0
2000,"Mongolia","MNG","Asia",0.0677,460,2450979,0,0,69
2000,"Norway","NOR","Europe",0.0889,36600,4490967,1,1.83492060005665,0
2000,"Peru","PER","Americas",0.0416,1960,26654439,1,0,132
2000,"Poland","POL","Europe",0.0876,4670,38258629,0,1.98858563601971,252
2000,"Portugal","PRT","Europe",0.0876,12180,10289898,0,1.77214451134205,12
2000,"Romania","ROU","Europe",0.0614,1710,22442971,0,5,87
2000,"South Africa","ZAF","Africa",0.0745,3280,46813266,1,0,1100
2000,"Spain","ESP","Europe",0.0891,15790,40567864,1,9.58424046635628,152
2000,"Switzerland","CHE","Europe",0.0888,44580,7184250,1,2.23389737308025,64
2000,"Thailand","THA","Asia",0.0513,1980,63066603,1,0,396
2000,"Ukraine","UKR","Europe",0.0385,680,49176500,1,0,10
2001,"Australia","AUS","Oceania",0.885,20330,19274701,1,18.3635781258345,24
2001,"Bulgaria","BGR","Europe",0.698,1770,8009142,0,3.54908108711243,6
2001,"Canada","CAN","Americas",0.837,23120,31020902,1,0,48
2001,"Chile","CHL","Americas",0.879,4830,15523978,1,0,12
2001,"Croatia","HRV","Europe",0.774,5360,4299642,0,1.43346786499023,0
